"[{'date': '2005-09-27T00:00:00.000Z', 'close': 19.3, 'high': 21.4, 'low': 19.1, 'open': 21.05, 'volume': 2576944, 'adjClose': 18.1920173026, 'adjHigh': 20.1714595998, 'adjLow': 18.0034989886, 'adjOpen': 19.8415525503, 'adjVolume': 2576944, 'divCash': 0.0, 'splitFactor': 1.0}",,,,,,,,,,,,,
,19.3231271867,19.3514049339,18.0977581456,18.1920173026,15409920,20.5,2005-09-28T00:00:00.000Z,0.0,20.53,19.2,19.3,1.0,15409920
,19.0497756314,19.3985345124,18.9460905587,19.2288680297,2890617,20.21,2005-09-29T00:00:00.000Z,0.0,20.58,20.1,20.4,1.0,2890617
,19.8038488875,19.8415525503,19.0214978843,19.0969052099,8373458,21.01,2005-09-30T00:00:00.000Z,0.0,21.05,20.18,20.26,1.0,8373458
,20.2657187568,20.5013666494,19.7001638148,19.7001638148,2836193,21.5,2005-10-03T00:00:00.000Z,0.0,21.75,20.9,20.9,1.0,2836193
,20.8878291931,21.2083103269,20.2091632626,20.2091632626,4742091,22.16,2005-10-04T00:00:00.000Z,0.0,22.5,21.44,21.44,1.0,4742091
,20.9255328559,21.0292179286,20.5013666494,20.8312736989,2424397,22.2,2005-10-05T00:00:00.000Z,0.0,22.31,21.75,22.1,1.0,2424397
,21.2837176525,21.679606112,21.1140511699,21.3025694839,4327614,22.58,2005-10-06T00:00:00.000Z,0.0,23.0,22.4,22.6,1.0,4327614
,20.8784032774,21.3025694839,20.5484962279,20.9726624344,2019839,22.15,2005-10-07T00:00:00.000Z,0.0,22.6,21.8,22.25,1.0,2019839
,20.9349587716,21.0103660972,20.8312736989,21.0009401815,1444236,22.21,2005-10-10T00:00:00.000Z,0.0,22.29,22.1,22.28,1.0,1444236
,20.7181627105,21.0197920129,20.5484962279,20.9820883501,2049866,21.98,2005-10-11T00:00:00.000Z,0.0,22.3,21.8,22.26,1.0,2049866
,20.5107925651,20.7841441204,20.3976815766,20.6427553849,2447453,21.76,2005-10-12T00:00:00.000Z,0.0,22.05,21.64,21.9,1.0,2447453
,20.4636629866,20.5484962279,20.1714595998,20.4542370709,1424397,21.71,2005-10-13T00:00:00.000Z,0.0,21.8,21.4,21.7,1.0,1424397
,20.9915142658,21.1140511699,20.5956258064,20.5956258064,2380161,22.27,2005-10-14T00:00:00.000Z,0.0,22.4,21.85,21.85,1.0,2380161
,20.8124218675,20.9443846873,20.5956258064,20.8784032774,1243968,22.08,2005-10-17T00:00:00.000Z,0.0,22.22,21.85,22.15,1.0,1243968
,20.2562928411,21.0197920129,20.1243300213,20.7935700361,4867292,21.49,2005-10-18T00:00:00.000Z,0.0,22.3,21.35,22.06,1.0,4867292
,20.1526077684,20.3599779138,19.6530342363,20.1431818527,3930295,21.38,2005-10-19T00:00:00.000Z,0.0,21.6,20.85,21.37,1.0,3930295
,19.8132748032,20.2468669254,19.6530342363,20.1243300213,1718231,21.02,2005-10-20T00:00:00.000Z,0.0,21.48,20.85,21.35,1.0,1718231
,20.6993108791,21.1329030013,19.8038488875,19.8132748032,2458445,21.96,2005-10-21T00:00:00.000Z,0.0,22.42,21.01,21.02,1.0,2458445
,21.0292179286,21.0763475071,20.6898849634,20.7464404576,1364075,22.31,2005-10-24T00:00:00.000Z,0.0,22.36,21.95,22.01,1.0,1364075
,20.7370145419,21.2460139897,20.4542370709,20.9726624344,1172386,22.0,2005-10-25T00:00:00.000Z,0.0,22.54,21.7,22.25,1.0,1172386
,21.0386438443,21.1611807484,20.7275886262,20.7370145419,1456300,22.32,2005-10-26T00:00:00.000Z,0.0,22.45,21.99,22.0,1.0,1456300
,21.2648658211,21.2648658211,20.9255328559,20.9820883501,941555,22.56,2005-10-27T00:00:00.000Z,0.0,22.56,22.2,22.26,1.0,941555
